cctvid,roadsection,px,py,url,status
66000C000107,"中山路/中正路(右側車流往潭子),Zhongshan Rd/Zhongzheng Rd (Right side Traffic flow to Tanzi)",120.7144,24.2511,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000107,0
66000C000109,"中正路/博愛街(右側車流往廟東夜市),Zhongzheng Rd/Bo'ai St (Right side Traffic flow to Miaodong Night Market)",120.7207,24.25174,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000109,0
66000C000114,"三豐路/三豐路747巷(右側車流往豐原大道),Sanfeng Rd/Ln. 747 (Right side Traffic flow to Fengyuan Blvd)",120.7206,24.26617,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000114,0
66000C000115,"東山路/大湖巷(右側車流往大坑圓環),Dongshan Rd/Dahu Lane (Right side Traffic flow to Dakeng round about)",120.755,24.19973,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000115,0
66000C000120,"臺灣大道/台74高架橋下(右側車流往台中交流道),Taiwan Blvd/Under no.74 (Right side Traffic flow to Taichung Interchange)",120.6342,24.17283,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000120,0
66000C000121,"臺灣大道/河南路(右側車流往文心路),Taiwan Blvd/Henan Rd (Right side Traffic flow to Wenxin Rd)",120.6405,24.1681,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000121,0
66000C000128,"三豐路/國豐路(右側車流往豐原),Sanfeng/Guofeng Rd(Right side Traffic flow to Fengyuan)",120.7224,24.27818,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000128,0
66000C000129,"馬場路/后科路(右側車流往后里馬場),Machang Rd/Houke Rd (Right side Traffic flow to Houli Mamaland.)",120.7321,24.29851,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000129,0
66000C000135,"環中路/凱旋路(車流往臺灣大道),Huanzhong Rd/Kaixuan Rd (traffic to Taiwan Blvd)",120.6475,24.19654,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000135,0
66000C000136,"環中路/大雅交流道(車流往中清路),Huanzhong Rd. / Daya IC (traffic to Zhongqing Rd.)",120.6571,24.20052,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000136,0
66000C000138,"環中路/同榮東路(車流往中清路),Huanzhong Rd./Tongrong E. Rd. (Traffic flow to Zhongqing Rd.)",120.6652,24.20134,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000138,0
66000C000141,"中清路三段/家樂福旁(右側車流往大雅),Sec. 3, Zhongqing Rd/Carrefour (Right side Traffic flow to Daya)",120.6521,24.2065,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000141,0
66000C000143,"經貿七路/中平路(右側車流往中清路),Jingmao 7th Rd/Zhongping Rd (Right side Traffic flow to Zhongqing Rd)",120.6582,24.19272,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000143,0
66000C000144,河南路/中科路 (右側車流往文心路)   Henan Rd/ Zhongke Rd. (Right side Traffic flow to Wenxin Rd),120.6549,24.17617,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000144,0
66000C000146,環中路/中央公園北側停車場(車流往中清路)Huanzhong Rd/Central Park North Parking Lot.(Traffic flow to Zhongqing Rd),120.6498,24.19693,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000146,0
66000C000147,文心路/河南路(右側車流往台灣大道) Wenxin Rd/Henan Rd(Right side Traffic flow to Taiwan Blvd.),120.6612,24.17172,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000147,0
66000C000148,"經貿路/黎明路(右側車流往河南路),Jingmao Rd/ Liming Rd (Right side Traffic flow to Henan Rd)",120.655,24.19593,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000148,0
66000C000149,"凱旋路/港隆街(右側車流往河南路),Kaixuan Rd/Ganglong St (Right side Traffic flow to Henan Rd)",120.6481,24.19547,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000149,0
66000C000150,凱旋路/敦化路(右側車流往環中路) Kaixuan Rd/Dunhua Rd( (Right side Traffic flow to Huanzhong Rd),120.6519,24.18531,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000150,0
66000C000151,"經貿路/河南路(右側車流往環中路),Jingmao Rd/Henan Rd (Right side Traffic flow to Huanzhong Rd))",120.659,24.17636,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000151,0
66000C000152,"河南路/凱旋路(右側車流往文心路),Henan Rd/Kaixuan Rd (Right side Traffic flow to Wenxin Rd)",120.6518,24.17614,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000152,0
66000C000154,"臺灣大道/惠來路(右側車流往台中交流道),Taiwan Blvd/Huilai Rd (Right side Traffic flow to Taichung Interchange)",120.6437,24.16582,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000154,0
66000C000165,中科路/中央公園遊客中心(右側車流往環中路Zhongke Rd/Central Park Visitor Center (Right side Traffic flow to Huanzhong Rd,120.6556,24.17982,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000165,0
66000C000168,"臺灣大道/惠來路(右側車流往文心路),Taiwan Blvd/Huilai Rd (Right side Traffic flow to Wenxin Rd)",120.6437,24.16566,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000168,0
66000C000178,"五權西路/向上路(右側車流往南屯交流道),Wuquan W. Rd/Wenxin Rd (Right side Traffic flow to Nantun Interchange)",120.6323,24.1456,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000178,0
66000C000179,"中清路引道/中清路(右側車流往文心路),Zhongqing Rd Approach /Zhongqing Rd (Right side Traffic flow to Wenxin Rd)",120.6565,24.19907,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000179,0
66000C000180,"敦化路/中清路(右側車流往經貿路),Dunhua Rd/Zhongqing Rd (Right side Traffic flow to Jingmao Rd)",120.6639,24.18547,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000180,0
66000C000181,"中清路/文心路(右側車流往進化北路),Zhongqing Rd/Wenxin Rd (Right side Traffic flow to Jinhua N. Rd)",120.6714,24.17381,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000181,0
66000C000182,忠明路/中清路(右側車流往崇德路) Zhongming Rd. / Zhongqing Rd.(Right side Traffic flow to Chongde Rd.),120.6744,24.16297,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000182,0
66000C000186,"五權西路/龍富路(右側車流往南屯交流道),Wuquan W. Rd/Wenxin Rd (Right side Traffic flow to Nantun Interchange)",120.6262,24.14857,https://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000186,0
